eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
361,16.489833116531372,S,"('192.168.0.16', 5001)",1752112757.5193417
362,16.269287586212158,S,"('192.168.0.15', 5001)",1752112759.749453
363,16.667125701904297,S,"('192.168.0.17', 5001)",1752112759.9179502
364,17.401766777038574,S,"('192.168.0.18', 5001)",1752112761.6650016
365,17.479703664779663,S,"('192.168.0.16', 5001)",1752112762.6113257
366,20.058531761169434,S,"('192.168.0.17', 5001)",1752112768.8880334
367,13.206371545791626,S,"('192.168.0.16', 5001)",1752112770.2097812
368,16.46625328063965,S,"('192.168.0.15', 5001)",1752112771.6304262
369,14.161535501480103,S,"('192.168.0.17', 5001)",1752112772.4632108
370,12.310570240020752,S,"('192.168.0.17', 5001)",1752112773.063094
371,13.736023187637329,S,"('192.168.0.17', 5001)",1752112773.0854294
372,14.149209260940552,S,"('192.168.0.18', 5001)",1752112774.995269
373,14.215718030929565,S,"('192.168.0.17', 5001)",1752112777.4188628
374,14.633302688598633,S,"('192.168.0.18', 5001)",1752112777.7450264
375,14.98125410079956,S,"('192.168.0.17', 5001)",1752112778.5095308
376,13.664942264556885,S,"('192.168.0.17', 5001)",1752112778.5427907
377,14.431052923202515,S,"('192.168.0.16', 5001)",1752112783.2997842
378,17.531248807907104,S,"('192.168.0.16', 5001)",1752112784.5114005
379,16.516939640045166,S,"('192.168.0.16', 5001)",1752112785.1189148
380,16.40607523918152,S,"('192.168.0.18', 5001)",1752112785.6972916
381,16.958276987075806,S,"('192.168.0.15', 5001)",1752112786.2069654
382,17.95265030860901,S,"('192.168.0.18', 5001)",1752112786.310081
383,16.32375717163086,S,"('192.168.0.18', 5001)",1752112787.7118895
